Дмитровское шоссе;Бескудниково
Дубнинская улица;Баскетбольная школа
Дубнинская улица;Д/к Юность
Дубнинская улица;Мкр. Дубки
Дубнинская улица;Ин-т Стали
Дубнинская улица;Керамический пр.
Керамический проезд;Платф. Лианозово (выс.)
Деповская улица;Ст. Ховрино (пос.)
Ангарская улица;Весенняя ул.
Ангарская улица;Мкр. Западное Дегунино
Коровинское шоссе;Ангарская ул.
Клязьминская улица;Колледж № 7
Коровинское шоссе;Ин-т Микрохирургии глаза
набережная Тараса Шевченко;Наб. Тараса Шевченко
3-я Черепковская улица;ВКНЦ
улица Сущёвский Вал;Новосущевская ул.
Дубнинская улица;Керамический пр.
Дубнинская улица;Ин-т Стали
Дубнинская улица;Мкр. Дубки
Дубнинская улица;Д/к Юность
улица 800-летия Москвы;Баскетбольная школа
Дмитровское шоссе;ВИСХОМ
Дмитровское шоссе;Бескудниково
Дмитровское шоссе;Селигерская ул.
Дмитровское шоссе;К/т Ереван
Дмитровское шоссе;Ильменский пр.
Дмитровское шоссе;Ин-т Цветметавтоматика
Дмитровское шоссе;7-й автобусный парк
Дмитровское шоссе;Нижн. Лихоборы
Локомотивный проезд;Метро Петровско-Разумовская
Большая Академическая улица;К/т Байкал
Большая Академическая улица;Стадион Наука
улица Зои и Александра Космодемьянских;Управа района Коптево
улица Зои и Александра Космодемьянских;К/т Рассвет - Техникум
улица Зои и Александра Космодемьянских;3-й Новоподмосковный пер.
улица Зои и Александра Космодемьянских;3-й Новоподмосковный пер.
улица Зои и Александра Космодемьянских;К/т Рассвет - Техникум
улица Зои и Александра Космодемьянских;Управа района Коптево
Большая Академическая улица;Стадион Наука
Дмитровское шоссе;7-й автобусный парк
Дмитровское шоссе;Ин-т Цветметавтоматика
Дмитровское шоссе;Ильменский пр.
Дмитровское шоссе;К/т Ереван
Дмитровское шоссе;Селигерская ул.
Коровинское шоссе;Селигерская ул.
Дмитровское шоссе;К/т Комсомолец
Большая Академическая улица;Педагогический колледж
Большая Академическая улица;Университет Природообустройства
Большая Академическая улица;Роддом № 27
Большая Академическая улица;Роддом № 27
Большая Академическая улица;Университет Природообустройства
Большая Академическая улица;Педагогический колледж
Локомотивный проезд;Метро Петровско-Разумовская
3-й Дербеневский переулок;Дербеневская наб.
улица Клары Цеткин;Ф-ка игрушек
Старопетровский проезд;Старопетровский пр.
Старопетровский проезд;Онкологический диспансер
Коровинское шоссе;Коровинское ш.
улица 800-летия Москвы;Талдомская ул.
Бескудниковский бульвар;Ин-т Микрохирургии глаза
Бескудниковский бульвар;Муз. школа
Локомотивный проезд;Метро Петровско-Разумовская
Нарвская улица;Детский сад
3-й Лихачёвский переулок;3-й Лихачевский пер.
Коровинское шоссе;Протезный з-д
Коровинское шоссе;Талдомская ул.
Ангарская улица;Ангарская ул.
Ангарская улица;Ангарская ул., 49
Ангарская улица;Храм Матроны Московской
Ангарская улица;Клязьминская ул.
Клязьминская улица;Учебный центр
Смольная улица;Школа им. Марш. Говорова
Смольная улица;Смольная ул., 45
Бескудниковский бульвар;Муз. школа
Бескудниковский бульвар;Ин-т Микрохирургии глаза
Коровинское шоссе;Коровинское ш.
Дмитровское шоссе;К/т Комсомолец
Дмитровское шоссе;Нижн. Лихоборы
Дмитровское шоссе;7-й автобусный парк
Бескудниковский бульвар;Торговый центр
Бескудниковский бульвар;Бескудниковский пер.
Бескудниковский бульвар;Рогачевский пер.
Бескудниковский бульвар;Школа № 656
Бескудниковский бульвар;Аптека
Бескудниковский бульвар;Бескудниково
Кронштадтский бульвар;Кронштадтский бульв.
Кронштадтский бульвар;Школа № 157
Нарвская улица;Нарвская ул. - Университет Гражданской Авиации
Клязьминская улица;Колледж № 7
Ангарская улица;Ангарская ул.
Ангарская улица;Мкр. Западное Дегунино
Ангарская улица;Весенняя ул.
Ангарская улица;Ст. Ховрино (выс.)
Старопетровский проезд;Онкологический диспансер
Старопетровский проезд;Старопетровский пр.
улица Клары Цеткин;Ф-ка игрушек
Михалковская улица;Диспансер
Михалковская улица;Электромеханический колледж
Михалковская улица;Ф-ка им. Петра Алексеева
Коровинское шоссе;Комплекс Метростроя
Коровинское шоссе;Селигерская ул.
Коровинское шоссе;Ин-т Микрохирургии глаза
Михалковская улица;Локомотивное депо Лихоборы
Онежская улица;Онежская ул. - Колледж
Онежская улица;3-й Лихачевский пер.
Онежская улица;Онежская ул., 19
Онежская улица;Солнечногорская ул.
Онежская улица;Флотская ул.
Петрозаводская улица;Фестивальная ул.
Петрозаводская улица;М-н Книги
Петрозаводская улица;Аптека
Петрозаводская улица;Петрозаводская ул.
Беломорская улица;15-й таксомоторный парк
Смольная улица;Экономический университет
Смольная улица;Смольная ул., 45
Смольная улица;Школа им. Марш. Говорова
Фестивальная улица;Смольная ул.
3-й Нижнелихоборский проезд;Автокомбинат № 3
Клязьминская улица;Учебный центр
Ангарская улица;Клязьминская ул.
Ангарская улица;Храм Матроны Московской
Ангарская улица;Ангарская ул., 49
Коровинское шоссе;Ангарская ул.
Бескудниковский бульвар;Аптека
Бескудниковский бульвар;Школа № 656
Бескудниковский бульвар;Рогачевский пер.
Бескудниковский бульвар;Бескудниковский пер.
Бескудниковский бульвар;Торговый центр
Коптевский бульвар;Роддом № 27
Коптевский бульвар;Коптевский рынок
Коптевская улица;Коптевская ул.
Коптевская улица;Коптевская ул.
Коптевский бульвар;Коптевский рынок
Коптевский бульвар;Роддом № 27
Петрозаводская улица;15-й таксомоторный парк
Петрозаводская улица;Петрозаводская ул.
Петрозаводская улица;Аптека
Петрозаводская улица;М-н Книги
Онежская улица;Фестивальная ул.
Онежская улица;Флотская ул.
Онежская улица;Солнечногорская ул.
Онежская улица;Онежская ул., 19
Онежская улица;Онежская ул. - Колледж
Михалковская улица;Локомотивное депо Лихоборы
Михалковская улица;Ф-ка им. Петра Алексеева
Михалковская улица;Электромеханический колледж
4-й Лихачёвский переулок;База механизации
Лихоборская набережная;Лихоборская наб. - Хим-тех. з-д
Автомоторная улица;Автомоторная ул.
Автомоторная улица;НАМИ (выс.)
4-й Новомихалковский проезд;Кадетский корпус полиции
Митинская улица;Митинская ул., 48
4-й Новомихалковский проезд;4-й Новомихалковский пр. - Поликлиника № 159
4-й Новомихалковский проезд;Кадетский корпус полиции
Автомоторная улица;НАМИ
Автомоторная улица;Автомоторная ул.
Лихоборская набережная;Лихоборская наб. - Хим-тех. з-д
4-й Лихачёвский переулок;База механизации
Нарвская улица;Диспансер
Нарвская улица;Детский сад
Лихоборская набережная;Школа № 157
Лихоборская набережная;Кронштадтский бульв.
улица Дыбенко;15-й таксомоторный парк
улица Дыбенко;19-й квартал
Смольная улица;Интернат
Смольная улица;11-й автобусный парк - Киностудия
Смольная улица;Смольная ул., 61
Смольная улица;Поликлиника
Фестивальная улица;Смольная ул.
Фестивальная улица;Фестивальная ул., 14
Фестивальная улица;Фестивальная ул., 65
Фестивальная улица;Фестивальная ул.
Фестивальная улица;Фестивальная ул., 14
Смольная улица;Поликлиника
Смольная улица;Смольная ул., 61
Смольная улица;11-й автобусный парк - Киностудия
улица Дыбенко;19-й квартал
Фестивальная улица;Фестивальная ул.
Флотская улица;Сенежская ул. - Диабетический центр
Солнечногорская улица;Солнечногорская ул.
Флотская улица;Флотская ул.
Зеленоградская улица;Зеленоградская ул., 21
Зеленоградская улица;Универмаг
Зеленоградская улица;Зеленоградская ул., 39
Зеленоградская улица;Зеленоградская ул., 39
Зеленоградская улица;Универмаг
Зеленоградская улица;Зеленоградская ул., 21
Фестивальная улица;Б-ца - Библиотека им. Короленко
Фестивальная улица;Фестивальная ул., 65
улица Академика Курчатова;1-й Пехотный пер.
Сосновая улица;Сосновая ул.
Пехотная улица;Детский сад
1-й Волоколамский проезд;1-й Волоколамский пр.
1-й Волоколамский проезд;Почта
улица Усиевича;2-й Балтийский пер.
улица Усиевича;Ленинградский рынок - К/т Баку
Планетная улица;4-я ул. 8-го Марта
Планетная улица;1-я ул. 8-го Марта
Флотская улица;Поликлиника
Флотская улица;Смольная ул.
Авангардная улица;Пулковская ул.
Петровско-Разумовская аллея;Петровско-Разумовская аллея
Планетная улица;1-я ул. 8-го Марта
Планетная улица;4-я ул. 8-го Марта
Часовая улица;Ленинградский рынок - К/т Баку
Часовая улица;Университет Путей сообщения
Часовая улица;1-й Балтийский пер.
1-й Волоколамский проезд;Почта
1-й Волоколамский проезд;1-й Волоколамский пр.
2-й Пехотный переулок;2-й Пехотный пер.
Пехотная улица;52-я гор. б-ца
Сосновая улица;Детский сад
Сосновая улица;Сосновая ул.
улица Академика Курчатова;1-й Пехотный пер.
Авангардная улица;Пулковская ул.
Флотская улица;Флотская ул., 36
Флотская улица;Поликлиника
Флотская улица;Школа № 648
Флотская улица;Флотская ул.
Солнечногорская улица;Солнечногорская ул.
Сенежская улица;Сенежская ул.,1 - Торговое училище
Бескудниковский бульвар;Ин-т Цветметавтоматика
Бескудниковский бульвар;Ин-т Цветметавтоматика
Онежская улица;3-й Лихачевский пер.
Лихоборская набережная;Нарвская ул. - Университет Гражданской Авиации
Лихоборская набережная;Акад. Туризма
Лихоборская набережная;Лихоборская наб.
Солнечногорская улица;Солнечногорская ул.,15 - Торговое училище
Солнечногорская улица;Солнечногорская ул.,15 - Торговое училище
Лихоборская набережная;Лихоборская наб.
Лихоборская набережная;Акад. Туризма
Лихоборская набережная;Нарвская ул. - Университет Гражданской Авиации
Михалковская улица;Пр. Черепановых
Михалковская улица;Соболевский пр.
улица Прянишникова;К/т Байкал
улица Прянишникова;Университет Печати
Тимирязевская улица;Тимирязевская академия
Тимирязевская улица;Пасечная ул.
Тимирязевская улица;Парк Дубки
улица Вучетича;50-я гор. б-ца
улица Вучетича;Пр. Соломенной Сторожки
Тимирязевская улица;Дмитровский пр.
2-я Хуторская улица;Всероссийское Общество Слепых
Петровско-Разумовский проезд;2-я Хуторская ул.
Петровско-Разумовский проезд;Писцовая ул.
Петровско-Разумовский проезд;Петровско-Разумовский пр.
Петровско-Разумовский проезд;Петровско-Разумовский пр.
Петровско-Разумовский проезд;Писцовая ул.
Петровско-Разумовский проезд;2-я Хуторская ул.
2-я Хуторская улица;Всероссийское Общество Слепых
Тимирязевская улица;Дмитровский пр.
улица Вучетича;50-я гор. б-ца
Тимирязевская улица;Парк Дубки
Тимирязевская улица;Красностуденческий пр.
Тимирязевская улица;Пасечная ул.
Тимирязевская улица;Тимирязевская академия
улица Прянишникова;Университет Печати
Михалковская улица;К/т Байкал
Ижорская улица;Рыбокомбинат
Ижорская улица;Ижорская ул.
улица Лавочкина;15-й таксомоторный парк
Дмитровское шоссе;К/т Волга - Дом мебели 777
Дмитровское шоссе;Селигерская ул.
Дмитровское шоссе;7-й автобусный парк
Дмитровское шоссе;Нижн. Лихоборы
Дмитровское шоссе;434-е отделение связи
Дмитровское шоссе;Ул. Всеволода Вишневского
Бутырская улица;Метро Дмитровская
Бутырская улица;Троллейбусный з-д
Бутырская улица;Бутырская ул., 46
Бутырская улица;Савеловский вокз.
улица Бутырский Вал;2-й Лесной пер.
Новослободская улица;Ул. Сущевский Вал
Бутырская улица;Савеловский вокз.
Бутырская улица;Троллейбусный з-д
Бутырская улица;Метро Дмитровская
Дмитровское шоссе;Ул. Всеволода Вишневского
Дмитровское шоссе;434-е отделение связи
Дмитровское шоссе;К/т Комсомолец
Дмитровское шоссе;Нижн. Лихоборы
Дмитровское шоссе;7-й автобусный парк
Дмитровское шоссе;Лианозовский элмех. з-д
Дмитровское шоссе;М-н Спортмастер
Краснополянская улица;Ул. Марш. Федоренко
Херсонская улица;Херсонская ул., 32
Волоколамское шоссе;Пехотная ул.
Ленинградский проспект;Ул. Серегина
